company_id,name,sectors,description,size
2001,Barco NV,Technology,"Barco NV, headquartered in Kortrijk, is a global technology leader specializing in visualization and collaboration solutions such as projectors, video walls, and medical imaging systems. The company partners with UCLL to explore innovations in AI-driven image processing and human-computer interaction.",Small
2002,Materialise NV,3D Printing,"Materialise NV, based in Leuven, pioneers in 3D printing technologies used in healthcare, automotive, and aerospace. Their collaboration with UCLL focuses on sustainable additive manufacturing processes and enhancing digital fabrication education.",Medium
2003,Colruyt Group,Retail,"Colruyt Group is one of Belgium’s largest retail chains, emphasizing sustainability, efficiency, and innovation in logistics. Together with UCLL researchers, they explore AI-based supply chain optimization and sustainable packaging solutions.",Large
2004,Umicore,Materials,"Umicore is a global materials technology and recycling company headquartered in Brussels. UCLL collaborates with Umicore on circular economy initiatives, focusing on metal recovery and sustainable battery technologies.",Large
2005,VITO,Sustainability,"VITO drives sustainable innovation in energy, materials, and environmental technologies. UCLL and VITO co-develop projects on smart cities and sustainable energy management.",Small
2006,Cronos Groep,IT Consulting,"Cronos Groep is one of Flanders’ largest IT consulting and innovation networks, connecting startups and enterprises. UCLL works with Cronos on AI education initiatives and applied data science projects.",Large
2007,Van Hool,Automotive,"Van Hool, a Belgian bus and industrial vehicle manufacturer, collaborates with UCLL on electric mobility, hydrogen technologies, and sustainable transport systems.",Small
2008,Telenet,Telecommunications,"Telenet, a leading telecom provider in Belgium, partners with UCLL on projects involving digital transformation, cybersecurity, and next-generation 5G applications for education and smart campuses.",Medium
2009,Proximus,Telecommunications,"Proximus, Belgium’s largest telecommunications company, engages in joint research with UCLL to improve network efficiency and explore IoT solutions for public services and education.",Large
2010,Bekaert,Steel Manufacturing,"Bekaert, headquartered in Zwevegem, is a global steel wire manufacturer. Their partnership with UCLL focuses on digital manufacturing optimization and predictive maintenance systems.",Large
2011,UCB Pharma,Pharmaceuticals,"UCB Pharma is an international biopharmaceutical company based in Brussels, focusing on neurological and immunological diseases. Collaboration with UCLL centers on data-driven clinical research and healthcare analytics.",Small
2012,Ablynx,Biotech,"Ablynx, now part of Sanofi, develops innovative nanobody-based medicines. UCLL supports Ablynx in bioinformatics and digital laboratory management projects.",Large
2013,Melexis,Semiconductors,Melexis designs microelectronic semiconductor solutions for automotive and industrial applications. UCLL researchers collaborate on sensor calibration and embedded AI applications.,Large
2014,EVS Broadcast Equipment,Broadcasting,"EVS Broadcast Equipment provides technology for live video production. Together with UCLL, they investigate real-time data streaming and machine learning applications for broadcast automation.",Small
