project_id,name,description,responsible_group,responsible_employee,total_budget,funding_source,type,start_date,end_date
4001,AI-Driven Campus Sustainability,"This project uses machine learning and IoT sensors to optimize energy use, waste management, and logistics on UCLL campuses. By predicting heating and lighting needs and automating maintenance schedules, the team aims to reduce energy consumption by 20%. The project partners with Fluvius and Luminus to pilot AI models in real-time environments.",10,1070,511906.6,Other Government,Research,2025-01-06,2026-06-17
4002,Circular Construction Materials,"Focused on creating new materials from recycled construction waste, this project develops high-performance composites with reduced carbon footprints. Collaborations with Etex Group and InnoBuild Gent allow real-world testing of circular material solutions and life-cycle analysis tools.",2,1074,365759.18,TETRA,Research,2024-12-10,2026-01-11
4003,Smart Health Monitoring Systems,"Develops wearable technologies and predictive health models to monitor chronic patients remotely. The system integrates secure data sharing between hospitals and general practitioners, co-developed with ZorgConnect Vlaanderen and CM.",7,1087,372933.23,CONTRACT,Talk,2023-12-30,2026-04-21
4004,Energy Optimization in Public Transport,Partners with De Lijn and VITO to implement smart energy management for electric buses. The project leverages real-time data analytics to reduce idle energy consumption and improve fleet scheduling efficiency.,6,1061,533737.0,TETRA,Services,2025-07-03,2027-06-16
4005,Learning Analytics in Digital Education,Explores how AI can personalize learning experiences based on student performance data. The project partners with Cegeka and uses anonymized datasets from UCLL’s LMS to train adaptive feedback algorithms.,1,1100,315949.13,PWO,Services,2024-02-09,2027-10-01
4006,AI-Enhanced Tutoring Systems,"Develops AI tutors capable of providing real-time support in mathematics and programming courses. The system learns from teacher interactions and improves over time, helping scale personalized education at UCLL.",10,1039,199673.68,CONTRACT,Research,2024-01-06,2025-12-14
4007,Predictive Maintenance for Industry 4.0,"Uses machine learning and IoT data from manufacturing equipment to predict breakdowns before they occur. In collaboration with Bekaert and TVH Group, the team builds explainable AI models for maintenance optimization.",5,1024,561852.96,CONTRACT,Services,2025-04-04,2027-03-11
4008,Green Hydrogen for Sustainable Industry,"Studies the feasibility of hydrogen-based industrial heating and manufacturing systems. In cooperation with Fluxys and Umicore, UCLL researchers are developing cost-effective models for large-scale hydrogen adoption.",8,1039,320950.77,PWO,Research,2025-09-07,2027-03-15
4009,AI Ethics in Financial Services,"Explores transparency and accountability of AI systems used in banking. In partnership with KBC and Belfius, the team evaluates algorithmic fairness and proposes frameworks for explainable decision-making.",3,1058,131035.83,PWO,Services,2024-04-08,2026-12-07
4010,Telemedicine for Rural Communities,"Designs a scalable telehealth platform that ensures accessibility for patients in remote Flemish areas. The project integrates video diagnostics, electronic health records, and AI triage tools.",4,1082,148307.39,CONTRACT,Research,2025-02-24,2027-05-12
4011,Smart Mobility Data Lab,"Collects and analyzes data from electric vehicles, bikes, and city sensors to improve urban transport. UCLL collaborates with Telenet and Proximus on real-time mobility dashboards for city planners.",3,1060,271025.71,PWO,Training,2024-11-03,2026-11-28
4012,Circular Food Processing Systems,Partners with Vandemoortele and VITO to create a circular food production model that reuses byproducts for bioenergy. The project also develops digital twins to simulate production efficiency.,6,1033,329743.0,CONTRACT,Services,2025-08-21,2026-10-04
4013,Augmented Reality in Medical Training,"Integrates AR technology in nursing and physiotherapy programs at UCLL. In collaboration with UCB Pharma and Cochlear, the system allows students to visualize anatomy in 3D for better learning outcomes.",6,1046,103494.77,PWO,Research,2024-06-12,2026-06-30
4014,Digital Twin for Smart Factories,"Creates a real-time digital twin for monitoring production efficiency. This research supports predictive simulation for factories, with Siemens Belgium providing industrial testbeds.",7,1072,272307.35,CONTRACT,Services,2025-01-10,2027-08-19
4015,AI in Language Learning,Develops speech-recognition tools to help students improve pronunciation and fluency in Dutch and English. The AI model adapts feedback to each learner’s pace and accent.,7,1085,132866.54,CONTRACT,Services,2025-07-18,2026-09-30
4016,AI for Renewable Grid Balancing,Builds an AI system that predicts energy supply and demand for renewable grids. Collaboration with Luminus and Elia enables integration with real-world grid data.,4,1061,514715.89,PWO,Research,2024-08-02,2026-12-12
4017,Cybersecurity Awareness for SMEs,"Focuses on training small businesses in identifying phishing, ransomware, and data breaches. The project designs gamified cybersecurity workshops and simulated attack platforms.",2,1064,308462.83,TETRA,Talk,2025-08-01,2026-01-12
4018,AI for Sustainable Logistics,Collaborates with Katoen Natie and DHL Belgium to optimize truck routing and warehouse automation. The team employs reinforcement learning to minimize CO2 emissions from transport operations.,2,1065,240664.57,CONTRACT,Talk,2025-05-11,2026-03-18
4019,Smart Textiles for Healthcare,"Designs wearable fabrics embedded with biosensors to monitor vital signs. Working with Sioen Industries and UCB, UCLL explores applications in elderly care and remote patient tracking.",3,1023,223840.27,PWO,Talk,2024-12-13,2025-12-31
4020,Blockchain for Supply Chain Transparency,Implements blockchain to ensure ethical sourcing and traceability in manufacturing supply chains. Partners include Umicore and TVH Group for pilot deployment.,9,1095,328935.53,TETRA,Talk,2025-02-01,2026-07-01
4021,AI-Powered Mental Health Chatbot,"Develops a multilingual conversational AI tool designed to provide early-stage mental health support for students and employees. The chatbot uses natural language processing to detect emotional patterns, offer guidance, and recommend professional help when needed. Collaboration with CM - Christelijke Mutualiteit ensures ethical compliance and integration with healthcare networks.",6,1062,145888.11,TETRA,Services,2025-09-11,2027-05-15
4022,Smart Agriculture and Soil Analytics,"Focuses on precision agriculture by combining satellite imagery, IoT soil sensors, and AI models. The system predicts crop yields, identifies nutrient deficiencies, and optimizes irrigation strategies. In collaboration with VITO and BioFuture Leuven, the project promotes sustainable food production in Flanders.",6,1037,309284.21,PWO,Training,2024-08-06,2026-02-11
4023,Digital Heritage Preservation Platform,"Creates a cloud-based platform for digitizing and preserving historical archives and artworks from Flemish museums. Using AI-based restoration algorithms and metadata tagging, UCLL teams help safeguard cultural heritage for future generations in cooperation with local archives and education centers.",10,1017,146303.71,TETRA,Training,2025-03-20,2026-08-12
4024,AI for Energy Demand Forecasting,"Builds predictive models for short- and long-term energy consumption using data from smart meters and weather APIs. In partnership with Luminus and Elia Group, the project improves grid stability and supports energy transition planning.",6,1025,263116.62,PWO,Talk,2024-08-16,2027-05-22
4025,Circular Textile Recycling Network,"Develops a digital tracking system for textile reuse and recycling, aiming to reduce waste in the fashion industry. The platform connects consumers, manufacturers, and recyclers, with support from Van de Velde and Sioen Industries.",7,1010,268542.96,TETRA,Training,2024-05-28,2027-01-21
4026,Collaborative Robotics for Construction Safety,"Designs robotic systems that assist human workers in lifting and precision tasks on construction sites. In partnership with Aertssen Group and InnoBuild Gent, the project enhances safety, reduces injuries, and increases productivity in complex infrastructure projects.",7,1067,304166.4,TETRA,Talk,2023-12-22,2027-07-24
